"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","86679","","","","0"
"2019","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","88212","","","","0"
"2020","Canada","2016A000011124","Chained (2012) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","81921","","","","0"
"1990","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","178817","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","176986","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","178634","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","181546","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","186433","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","188810","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","191568","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","194962","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","199103","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","204558","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","209841","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","211638","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","216956","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","221128","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","225462","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","228435","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","231869","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","238793","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","242301","","","","0"
"2009","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","243949","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","248001","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","250278","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","251538","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","257266","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","261821","","","","0"
"2015","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","265734","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","268783","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","276135","","","","0"
"2018","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","282492","","","","0"
"2019","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","285342","","","","0"
"2020","Canada","2016A000011124","Chained (2012) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","294128","","","","0"
"1990","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","291953","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","292615","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","298897","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","304952","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","312975","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","321086","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","331602","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","344988","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","352919","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","364212","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","377909","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","387034","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","398930","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","411276","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","427365","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","447649","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","467277","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","488870","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","501617","","","","0"
